18084,"Van Cliburn International Piano Competition"
83136,"Zilog Z80"
83360,"Out of memory"
97473,"Personal computer"
131691,"National Register of Historic Places"
137487,"Sandstone"
150433,"Corbridge"
186871,"Geographic Names Information System"
186872,"2010 United States Census"
186884,"Poverty threshold"
186885,"Marriage"
186886,"Census"
187271,"2000 United States Census"
195377,"Naming rights"
203275,"Chapel Hill, North Carolina"
210011,"U.S. state"
210630,"Peoria, Illinois"
210638,"Quincy, Illinois"
238708,"Gray Davis"
241492,"Speaker (politics)"
249095,"United States embargo against Cuba"
251247,"Primary Health Organisation"
258352,"Newspaper"
264642,"List of Woman's Clubhouses in Florida on the National Register of Historic Places"
265537,"Fort Walton Beach, Florida"
286726,"Farmer"
376666,"Orbit"
377532,"Adaptive optics"
378392,"Earth"
378990,"Orbital node"
385643,"Corona discharge"
385763,"Antenna (radio)"
391352,"Electromagnetic spectrum"
391863,"Energy"
392657,"International System of Units"
393156,"Wind wave"
393522,"A. E. Becquerel"
397564,"Massachusetts Institute of Technology"
405627,"Health care"
406089,"Cracking (chemistry)"
407003,"Hydrogen peroxide"
410584,"Stimulant"
418369,"Newcastle disease"
423326,"Medicines and Healthcare products Regulatory Agency"
423968,"Animal testing"
448184,"Organic horticulture"
453009,"Saddle"
474954,"Wafer (electronics)"
475143,"Explosion"
475507,"Sulfur"
478113,"Geologist"
500280,"Policy studies"
547169,"Furniture"
550455,"American Institute of Architects"
551367,"Royal Canadian Academy of Arts"
564809,"Umbrella organization"
605008,"France"
637629,"Las Vegas"
682666,"Progressive rock"
683202,"Extended play"
683210,"Record producer"
696285,"The D4"
700419,"Should I Stay or Should I Go"
707148,"Columbia Records"
739123,"Album"
742186,"Warne Marsh"
752534,"True (TrinityRoots album)"
752535,"Trinity Roots (EP)"
795206,"Organisation for Economic Co-operation and Development"
795935,"Deregulation"
797227,"Profiteering (business)"
798860,"International Labour Organization"
799092,"Transnational Institute"
830326,"Bonneville Power Administration"
857160,"Boulder City, Nevada"
883216,"Pacific Islander"
983533,"Kentucky"
1004365,"Wild Bill Hickok"
1073835,"Climate change"
1073836,"Global warming"
1075964,"United Nations Environment Programme"
1125843,"Fresnel lens"
1131960,"Civil list"
1177224,"Emotion"
1179716,"Socialism"
1184058,"Science"
1185309,"Personhood"
1186443,"Minority group"
1187495,"Social liberalism"
1189325,"Philosophical Transactions of the Royal Society A"
1230988,"Ribbon"
1259190,"National Oceanic and Atmospheric Administration"
1276163,"Higher sulfur oxides"
1377404,"Fairfax Media"
1388147,"Instant-runoff voting"
1394725,"Australia"
1450908,"Antarctica"
1454405,"Bulgaria"
1464559,"Advertising"
1511569,"Radar"
1529425,"Vero Beach Woman's Club"
1529426,"Waldo E. Sexton"
1532286,"Columbia University"
1582885,"Connacht"
1647667,"Order of the British Empire"
1651423,"Aircraft"
1651435,"Northrop Grumman"
1651515,"Inertial navigation system"
1655705,"Polyethylene terephthalate"
1659920,"NASA X-43"
1666253,"Shrapnel shell"
1668295,"Tactical ballistic missile"
1668297,"Theatre ballistic missile"
1765300,"London"
1768786,"Westcombe Park"
1772933,"Valve"
1774037,"Electronic control unit"
1775421,"Engine"
1777398,"General Motors"
1780467,"Immobiliser"
1806464,"List of High Commissioners of New Zealand to Australia"
1825206,"Cornwall"
1874205,"Alternative newspaper"
1895905,"Christoph Heemann"
1915319,"Little River Band"
1915567,"Red McKelvie"
1953386,"Short film"
1987617,"Lollipop"
1993633,"Train station"
1996371,"Side platform"
2005955,"Utility cooperative"
2038044,"United States"
2041405,"Recording Industry Association of New Zealand"
2044781,"California"
2048225,"Single parent"
2055314,"Late Night with David Letterman"
2055833,"Spin-off (media)"
2065394,"MiyakonojÅ\u8d, Miyazaki"
2065872,"Kawasaki, Kanagawa"
2065878,"Fukuoka"
2066145,"Hamada, Shimane"
2066511,"Nagasaki"
2066966,"Chita, Aichi"
2067240,"Japan"
2067917,"Aomori Prefecture"
2068028,"KiryÅ«, Gunma"
2068706,"Yokohama"
2069822,"Nagasaki Prefecture"
2072282,"Japanese people"
2074054,"High school baseball in Japan"
2077705,"Abbreviation"
2087492,"Professional association"
2091340,"Leopold Zunz"
2093068,"Monsey, New York"
2122216,"Majlis Amanah Rakyat"
2130288,"Foil bearing"
2130510,"Density of air"
2130518,"Avoirdupois"
2139076,"Child care"
2141001,"Lord Mayor of Liverpool"
2153117,"Altitude"
2153611,"Population"
2171896,"ParÃ¡"
2180503,"World YWCA"
2181309,"Nora Zehetner"
2182504,"Shaybah"
2184546,"Rough Riders"
2184677,"Combat"
2186060,"Naval Postgraduate School"
2187231,"Ordnance Corps (United States Army)"
2187969,"United States Armed Forces"
2195339,"Sirius Satellite Radio"
2196883,"Watt"
2204445,"C. Vann Woodward"
2207605,"Knight-Wallace Fellowship"
2219037,"Soviet Union"
2230618,"Medsafe"
2243771,"20th Century Technology Museum"
2245935,"Karen Davies"
2264100,"New South Wales"
2265468,"Board of Studies"
2265475,"School Certificate"
2299965,"N2"
2317519,"Aktiengesellschaft"
2320186,"Corporation"
2320217,"Investment"
2320239,"Financial services"
2320300,"Insurance"
2320587,"Cooperative"
2321675,"Company Directors Disqualification Act 1986"
2331457,"United States Statutes at Large"
2331681,"Law of the United States"
2331778,"Rational basis review"
2334489,"Judge"
2334599,"Tribunal"
2335832,"Queen's Counsel"
2345582,"Secret ballot"
2349445,"Spain"
2349452,"SanlÃºcar la Mayor"
2349941,"Province of Cuenca (Spain)"
2368433,"Grading (engineering)"
2382713,"European Committee for Standardization"
2441348,"White Star Line"
2459018,"Food quality"
2461988,"Civil awards and decorations of the United States"
2486410,"Trade association"
2495758,"Argentina"
2503371,"Peru"
2508552,"Master of Philosophy"
2531707,"Nabua, Camarines Sur"
2534496,"News"
2539542,"International Federation of Journalists"
2555927,"Wine"
2573898,"Bright Antenna"
2599483,"Body control module"
2622044,"United States Board on Geographic Names"
2628672,"Shikoku Island League Plus"
2640941,"Norwegians"
2641846,"Jon Larsen"
2641909,"Angelo Debarre"
2644124,"Florence, South Dakota"
2691282,"Eastern Europe"
2695437,"Bundeswehr"
2697766,"Germany"
2702693,"Catalysis"
2702694,"Chemical reaction"
2704315,"Water"
2715338,"Asteroid belt"
2727463,"Acronyms and abbreviations in avionics"
2728010,"ARINC"
2730932,"Environmental control system (aircraft)"
2731036,"Aircraft Communications Addressing and Reporting System"
2733923,"Zellige"
2736568,"Leroy, Alabama"
2736580,"Area code 251"
2740628,"Kewanee"
2766020,"Goaltender"
2774618,"Central Time Zone (North America)"
2774619,"Political divisions of the United States"
2778732,"Town"
2779026,"Vectren"
2782765,"New Albany, Indiana"
2782812,"Indiana"
2790790,"Dominican Republic"
2794347,"Purdue University College of Agriculture"
2827628,"Tainan"
2828572,"New Taipei City"
2829113,"Taiwan"
2830074,"Antideficiency Act"
2830075,"Authorization bill"
2830296,"Alexei Sultanov"
2832079,"Reproductive health"
2856102,"Political party"
2871399,"Selim Peabody"
2884191,"List of Bollywood films of 1942"
2893222,"Chennai"
2899898,"India"
2900864,"Guru"
2901170,"Hinduism"
2902022,"Chera Dynasty"
2902971,"Gujarat"
2904058,"Saini"
2930866,"Finland"
2933620,"Murtaza Rakhimov"
2935600,"Vladimir Putin"
2935625,"Prime Minister of Russia"
2942206,"1728 Goethe Link"
2942246,"Indiana Asteroid Program"
2942247,"Goethe Link Observatory"
2942271,"1852 Carpenter"
2942298,"Goethe Link"
2946740,"Association of Alternative Newsmedia"
2963837,"Taiwanese people"
2971364,"Water vapor"
2971558,"Humidity"
2971561,"Lapse rate"
2971593,"Weather"
2972423,"Radiative cooling"
2977228,"China"
2977993,"Nanjing"
2977999,"Tianjin"
2978085,"Han Chinese"
2978404,"Jiangsu"
2978763,"Golmud"
2979324,"Traditional Chinese characters"
2979342,"Autonomous counties of the People's Republic of China"
2979876,"Arthur W. Hummel, Sr."
2990795,"Canadians"
2998681,"Ben Isitt"
2999005,"Electoral district"
3001347,"University of Toronto"
3001464,"Ontario"
3001472,"Kingston, Ontario"
3001476,"Canada"
3001587,"The Globe and Mail"
3002476,"Canada Pension Plan"
3003679,"Premier"
3004743,"British Columbia"
3005352,"Sault Ste. Marie, Ontario"
3005687,"Chinook wind"
3006268,"Alberta"
3007731,"Slaight Communications"
3007732,"EZ Rock"
3007758,"Kory Teneycke"
3009437,"Francophone"
3009655,"BenoÃ®t SerrÃ©"
3009656,"William J. Stairs"
3009714,"John MacDougall (Ontario politician)"
3022981,"Stephenson County, Illinois"
3029189,"School Certificate (New Zealand)"
3031381,"2011 Men's Hockey Champions Trophy"
3035221,"Live in New York (Nektar album)"
3035224,"Evolution (Nektar album)"
3035225,"Magic Is a Child"
3039573,"Liberal Democratic Party (Japan)"
3041460,"Prussia"
3043611,"Baden-WÃ¼rttemberg"
3048341,"Bavaria"
3048470,"HÃ¶sbach"
3053625,"University of Mainz"
3063570,"Nicolae CeauÈ\u0099escu"
3065108,"THEOS (satellite)"
3066364,"Greenwich Mean Time"
3083478,"Oxford University Press"
3102033,"England"
3102702,"Association football"
3112039,"Amateur"
3112970,"Stadium"
3120512,"Italy"
3133479,"Gelsenkirchen"
3141028,"Falkirk"
3141030,"Aberdeen"
3141031,"Scotland"
3165770,"List of sovereign states"
3167704,"Iran"
3179449,"Salona"
3179733,"Jadro"
3184660,"Aalborg University"
3188463,"Editto Bulgaro"
3191084,"The ReykjavÃ\uadk Grapevine"
3191798,"Iceland"
3191799,"ReykjavÃ\uadk"
3191970,"JÃ³n Trausti SigurÃ°arson"
3191971,"Hilmar GrÃ©tarsson"
3195118,"Directive (European Union)"
3195470,"European Union"
3195641,"Legislature of the European Union"
3196530,"Third Energy Package"
3198266,"Souverainism"
3198882,"Directorate-General for External Security"
3199009,"French Democratic Confederation of Labour"
3206643,"Algeria national football team"
3214335,"Showboat"
3228362,"Brazil"
3246641,"Chapman Tripp Theatre Awards"
3246667,"New Zealand film and television awards"
3246706,"Madeleine Sami"
3246982,"Briar Grace-Smith"
3250502,"Aerostat"
3250757,"Paris Balloon"
3253254,"Site of Special Scientific Interest"
3253876,"Police"
3253999,"Party-list proportional representation"
3269902,"Cumbria"
3271349,"Fell running"
3280457,"Chisel"
3296122,"Legislation"
3296768,"Act of Parliament"
3300430,"Ownership"
3300630,"Restitution"
3303739,"List of extant baronetcies"
3312288,"Kazakhstan"
3324906,"Pennsylvania"
3340830,"Canada Council"
3357893,"Executive director"
3365865,"Kenya"
3373454,"La CitÃ©-Limoilou"
3381030,"Order of St Michael and St George"
3384724,"Trench"
3390862,"University of Nottingham"
3393245,"1976 Summer Olympics"
3394863,"1936 Summer Olympics"
3397139,"Special Interest Group"
3398306,"EudraLex"
3398376,"EudraVigilance"
3398383,"Yellow Card Scheme"
3402179,"Ayumi Kinoshita"
3403178,"Nippon Television"
3404865,"Shogakukan"
3408691,"Big Comic Spirits"
3409920,"NHK"
3410063,"Tsuribaka Nisshi"
3412451,"JÅ«zÅ\u8d Yamasaki"
3412926,"Harry Corbett"
3422741,"Gujrat city"
3423232,"Kunjah"
3429178,"Afghanistan"
3430496,"Wazir Khan Mosque"
3430561,"Wazir Khan (Lahore)"
3435054,"Nancy-UniversitÃ©"
3438534,"WolfenbÃ¼ttel"
3443589,"New Brunswick"
3448756,"Country"
